,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_delta,param_feature_subsampling_pct,param_max_depth,param_min_samples,param_n_trees,param_window,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
89,5.21077728,0.0977134032,0.00786153,0.000246622736,0.075,0.7134523020755108,3,3,26,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.7134523020755108, 'max_depth': 3, 'min_samples': 3, 'n_trees': 26, 'window': 8}",0.42744868,0.41630568,0.42067421,0.42147619,0.00458432197,18
90,2.98930987,0.0875657962,0.0088172,0.000197496468,0.075,0.7270634488277355,2,4,48,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.7270634488277355, 'max_depth': 2, 'min_samples': 4, 'n_trees': 48, 'window': 8}",0.36440003,0.36761232,0.36447909,0.36549715,0.00149600307,36
91,3.96708727,0.122489133,0.00538468,3.72792945e-05,0.05,0.8231328373463637,2,5,29,16,"{'delta': 0.05, 'feature_subsampling_pct': 0.8231328373463637, 'max_depth': 2, 'min_samples': 5, 'n_trees': 29, 'window': 16}",0.22739077,0.33382722,0.3249883,0.29540209,0.048226457,64
92,14.8036956,0.0564830359,0.02307423,0.000519849477,0.05,0.6116682553749625,4,2,55,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.6116682553749625, 'max_depth': 4, 'min_samples': 2, 'n_trees': 55, 'window': 'log2'}",0.38987039,0.38583792,0.39315846,0.38962226,0.00299374538,28
93,210.75156236,6.64195194,0.04583669,0.0014714739,0.05,0.7987716646677971,5,8,81,16,"{'delta': 0.05, 'feature_subsampling_pct': 0.7987716646677971, 'max_depth': 5, 'min_samples': 8, 'n_trees': 81, 'window': 16}",0.50051975,0.50039366,0.49443755,0.49845032,0.00283792575,6
94,1.87849553,0.0332644992,0.0090731,0.000253211781,0.125,0.4860946246375165,2,8,49,sqrt,"{'delta': 0.125, 'feature_subsampling_pct': 0.4860946246375165, 'max_depth': 2, 'min_samples': 8, 'n_trees': 49, 'window': 'sqrt'}",0.35183228,0.35119491,0.34517964,0.34940227,0.0029971692,41
95,16.78782781,0.400503919,0.01910345,0.000265916521,0.05,0.5547271352030715,5,2,32,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.5547271352030715, 'max_depth': 5, 'min_samples': 2, 'n_trees': 32, 'window': 4}",0.42899729,0.41848654,0.38909953,0.41219445,0.0168849137,23
96,29.77467783,0.448069163,0.02213852,0.000488034245,0.1,0.45028151086074686,5,6,38,8,"{'delta': 0.1, 'feature_subsampling_pct': 0.45028151086074686, 'max_depth': 5, 'min_samples': 6, 'n_trees': 38, 'window': 8}",0.42993523,0.35071752,0.45062338,0.41042538,0.0430563269,24
97,5.06860065,0.0655614194,0.02033949,0.000502060204,0.05,0.38738227383137336,3,8,71,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.38738227383137336, 'max_depth': 3, 'min_samples': 8, 'n_trees': 71, 'window': 4}",0.30075368,0.30731467,0.29660195,0.30155677,0.00441016454,59
98,1.27464318,0.0285235194,0.0057222,3.23373494e-05,0.075,0.6686534909528193,2,6,31,sqrt,"{'delta': 0.075, 'feature_subsampling_pct': 0.6686534909528193, 'max_depth': 2, 'min_samples': 6, 'n_trees': 31, 'window': 'sqrt'}",0.33552578,0.32289551,0.32243021,0.3269505,0.0060666103,50
99,36.54972458,0.334501505,0.02411326,0.000418229471,0.125,0.7052666104693346,5,6,42,sqrt,"{'delta': 0.125, 'feature_subsampling_pct': 0.7052666104693346, 'max_depth': 5, 'min_samples': 6, 'n_trees': 42, 'window': 'sqrt'}",0.54003197,0.52352964,0.52588999,0.5298172,0.00728692629,1
